,Date,Open,High,Low,Close,Adj Close,Volume,Name
683,2021-01-06,1300.0,1302.0,1268.05,1282.1,1230.65,7161715,INFOSYS
684,2021-01-07,1296.0,1297.65,1255.5,1262.15,1211.5,10954918,INFOSYS
685,2021-01-08,1278.25,1316.8,1278.25,1312.1,1259.44,13186251,INFOSYS
686,2021-01-11,1342.1,1383.35,1340.0,1376.2,1320.97,20528626,INFOSYS
687,2021-01-12,1378.0,1378.0,1360.0,1371.75,1316.7,8309868,INFOSYS
688,2021-01-13,1373.85,1392.8,1360.0,1387.15,1331.48,14442997,INFOSYS
689,2021-01-14,1360.0,1384.0,1318.45,1370.5,1315.5,27521697,INFOSYS
690,2021-01-15,1360.0,1364.45,1340.0,1344.95,1290.97,15018441,INFOSYS
691,2021-01-18,1338.0,1340.0,1306.0,1312.05,1259.39,8861765,INFOSYS
692,2021-01-19,1320.0,1331.0,1312.0,1316.65,1263.81,5585744,INFOSYS
693,2021-01-20,1320.55,1348.4,1320.55,1339.45,1285.69,8225838,INFOSYS
694,2021-01-21,1350.0,1361.05,1335.0,1339.7,1285.93,6142421,INFOSYS
695,2021-01-22,1327.0,1356.0,1326.55,1340.85,1287.04,9646591,INFOSYS
